year,dates,stages,distance,starters,finishers,distance_km,stages_count,decade,completion_rate,completion_pct,country,rider,team,stages_won,stages_led,avg_speed_kmh,age_when_won
1975,26 June – 20 July 1975,"22 + Prologue, including two split stages","4,000 km (2,500 mi)",140,86,4000.0,22,1970,0.6142857142857143,61.42857142857143,France,Bernard Thévenet,Peugeot–BP–Michelin,2.0,8.0,34.9,27.0
1976,24 June – 18 July 1976,"22 + Prologue, including three split stages","4,017 km (2,496 mi)",130,87,4017.0,22,1970,0.6692307692307692,66.92307692307692,Belgium,Lucien Van Impe,Gitane–Campagnolo,1.0,12.0,34.5,30.0
1977,30 June – 24 July 1977,"22 + Prologue, including five split stages","4,096 km (2,545 mi)",100,53,4096.0,22,1970,0.53,53.0,France,Bernard Thévenet,Peugeot–Esso–Michelin,1.0,8.0,35.4,29.0
1978,29 June – 23 July 1978,"22 + Prologue, including two split stages","3,908 km (2,428 mi)",110,78,3908.0,22,1970,0.7090909090909091,70.9090909090909,France,Bernard Hinault,Renault–Gitane–Campagnolo,3.0,3.0,36.1,24.0
1979,27 June – 22 July 1979,24 + Prologue,"3,765 km (2,339 mi)",150,89,3765.0,24,1970,0.5933333333333334,59.333333333333336,France,Bernard Hinault,Renault–Gitane,7.0,17.0,36.5,25.0
1980,26 June – 20 July 1980,"22 + Prologue, including two split stages","3,842 km (2,387 mi)",130,85,3842.0,22,1980,0.6538461538461539,65.38461538461539,Netherlands,Joop Zoetemelk,TI–Raleigh–Creda,2.0,10.0,35.1,34.0
1981,25 June – 19 July 1981,"22 + Prologue, including two split stages","3,753 km (2,332 mi)",150,121,3753.0,22,1980,0.8066666666666666,80.66666666666666,France,Bernard Hinault,Renault–Elf–Gitane,5.0,18.0,39.0,27.0
1982,2–25 July 1982,"21 + Prologue, including one split stage","3,507 km (2,179 mi)",169,125,3507.0,21,1980,0.7396449704142012,73.96449704142012,France,Bernard Hinault,Renault–Elf–Gitane,4.0,12.0,38.1,28.0
1983,1–24 July 1983,22 + Prologue,"3,809 km (2,367 mi)",140,88,3809.0,22,1980,0.6285714285714286,62.857142857142854,France,Laurent Fignon,Renault–Elf,1.0,6.0,36.2,23.0
1984,29 June – 22 July 1984,23 + Prologue,"4,021 km (2,499 mi)",170,124,4021.0,23,1980,0.7294117647058823,72.94117647058823,France,Laurent Fignon,Renault–Elf,5.0,7.0,35.9,24.0
1985,28 June – 21 July 1985,"22 + Prologue, including one split stage","4,109 km (2,553 mi)",180,144,4109.0,22,1980,0.8,80.0,France,Bernard Hinault,La Vie Claire,2.0,16.0,36.2,31.0
1986,4–27 July 1986,23 + Prologue,"4,094 km (2,544 mi)",210,132,4094.0,23,1980,0.6285714285714286,62.857142857142854,United States,Greg LeMond,La Vie Claire,1.0,7.0,37.0,25.0
1987,1–26 July 1987,25 + Prologue,"4,231 km (2,629 mi)",207,135,4231.0,25,1980,0.6521739130434783,65.21739130434783,Ireland,Stephen Roche,Carrera Jeans–Vagabond,1.0,3.0,36.6,28.0
1988,2–24 July 1988,22 + Prologue,"3,286 km (2,042 mi)",198,151,3286.0,22,1980,0.7626262626262627,76.26262626262627,Spain,Pedro Delgado,Reynolds,1.0,11.0,38.9,28.0
1989,1–23 July 1989,21 + Prologue,"3,285 km (2,041 mi)",198,138,3285.0,21,1980,0.696969696969697,69.6969696969697,United States,Greg LeMond,AD Renting–W-Cup–Bottecchia,3.0,8.0,37.5,28.0
1990,30 June – 22 July 1990,21 + prologue,"3,504 km (2,177 mi)",198,156,3504.0,21,1990,0.7878787878787878,78.78787878787878,United States,Greg LeMond,Z–Tomasso,0.0,2.0,38.6,29.0
1991,6–28 July 1991,22 + Prologue,"3,914 km (2,432 mi)",198,158,3914.0,22,1990,0.797979797979798,79.7979797979798,Spain,Miguel Indurain,Banesto,2.0,10.0,38.7,27.0
1992,4–26 July 1992,21 + Prologue,"3,983 km (2,475 mi)",198,130,3983.0,21,1990,0.6565656565656566,65.65656565656566,Spain,Miguel Indurain,Banesto,3.0,10.0,39.5,28.0
1993,3–25 July 1993,20 + Prologue,"3,714 km (2,308 mi)",180,136,3714.0,20,1990,0.7555555555555555,75.55555555555556,Spain,Miguel Indurain,Banesto,2.0,14.0,38.7,29.0
1994,2–24 July 1994,21 + Prologue,"3,978 km (2,472 mi)",189,117,3978.0,21,1990,0.6190476190476191,61.904761904761905,Spain,Miguel Indurain,Banesto,1.0,13.0,38.4,30.0
1995,1–23 July 1995,20 + Prologue,"3,635 km (2,259 mi)",189,115,3635.0,20,1990,0.6084656084656085,60.84656084656085,Spain,Miguel Indurain,Banesto,2.0,13.0,39.2,31.0
1996,29 June – 21 July 1996,21 + Prologue,"3,765 km (2,339 mi)",197,129,3765.0,21,1990,0.6548223350253807,65.48223350253807,Denmark,Bjarne Riis,Team Telekom,2.0,13.0,39.2,32.0
1997,5–27 July 1997,21 + Prologue,"3,950 km (2,450 mi)",198,139,3950.0,21,1990,0.702020202020202,70.2020202020202,Germany,Jan Ullrich,Team Telekom,2.0,12.0,39.3,24.0
1998,11 July – 2 August 1998,21 + Prologue,"3,875 km (2,408 mi)",189,96,3875.0,21,1990,0.5079365079365079,50.79365079365079,Italy,Marco Pantani,Mercatone Uno–Bianchi,2.0,7.0,41.7,28.0
1999,3–25 July 1999,20 + Prologue,"3,687 km (2,291 mi)",180,141,3687.0,20,1990,0.7833333333333333,78.33333333333333,,,,,,,
2000,1–23 July 2000,21,"3,662 km (2,275 mi)",197,127,3662.0,21,2000,0.6446700507614214,64.46700507614213,,,,,,,
2001,7–29 July 2001,20 + Prologue,"3,458 km (2,149 mi)",189,144,3458.0,20,2000,0.7619047619047619,76.19047619047619,,,,,,,
2002,6–28 July 2002,20 + Prologue,"3,278 km (2,037 mi)",189,153,3278.0,20,2000,0.8095238095238095,80.95238095238095,,,,,,,
2003,5–27 July 2003,20 + Prologue,"3,427 km (2,129 mi)",198,147,3427.0,20,2000,0.7424242424242424,74.24242424242425,,,,,,,
2004,3–25 July 2004,20 + Prologue,"3,391 km (2,107 mi)",188,147,3391.0,20,2000,0.7819148936170213,78.19148936170212,,,,,,,
2005,2–24 July 2005,21,"3,359 km (2,087 mi)",189,155,3359.0,21,2000,0.8201058201058201,82.01058201058201,,,,,,,
2006,1–23 July 2006,21,"3,657 km (2,272 mi)",176,139,3657.0,21,2000,0.7897727272727273,78.97727272727273,Spain,Óscar Pereiro,Caisse d'Epargne–Illes Balears,0.0,8.0,40.8,29.0
2007,7–29 July 2007,20 + Prologue,"3,570 km (2,220 mi)",189,141,3570.0,20,2000,0.746031746031746,74.60317460317461,Spain,Alberto Contador,Discovery Channel,1.0,4.0,39.2,25.0
2008,5–27 July 2008,21,"3,559 km (2,211 mi)",180,144,3559.0,21,2000,0.8,80.0,Spain,Carlos Sastre,Team CSC,1.0,5.0,40.5,33.0
2009,4–26 July 2009,21,"3,459 km (2,149 mi)",180,155,3459.0,21,2000,0.8611111111111112,86.11111111111111,Spain,Alberto Contador,Astana,2.0,7.0,40.3,27.0
2010,3–25 July 2010,20 + Prologue,"3,642 km (2,263 mi)",197,170,3642.0,20,2010,0.8629441624365483,86.29441624365482,Luxembourg,Andy Schleck,Team Saxo Bank,2.0,12.0,39.6,25.0
2011,2–24 July 2011,21,"3,430 km (2,130 mi)",198,168,3430.0,21,2010,0.8484848484848485,84.84848484848484,Australia,Cadel Evans,BMC Racing Team,1.0,2.0,39.8,34.0
2012,30 June – 22 July 2012,20 + Prologue,"3,496 km (2,172 mi)",198,153,3496.0,20,2010,0.7727272727272727,77.27272727272727,Great Britain,Bradley Wiggins,Team Sky,2.0,14.0,39.9,32.0
2013,29 June – 21 July 2013,21,"3,404 km (2,115 mi)",198,169,3404.0,21,2010,0.8535353535353535,85.35353535353535,Great Britain,Chris Froome,Team Sky,3.0,14.0,40.6,28.0
2014,5–27 July 2014,21,"3,660.5 km (2,274.5 mi)",198,164,3660.5,21,2010,0.8282828282828283,82.82828282828282,Italy,Vincenzo Nibali,Astana,4.0,19.0,40.7,30.0
2015,4–26 July 2015,21,"3,360.3 km (2,088.0 mi)",198,160,3360.3,21,2010,0.8080808080808081,80.8080808080808,Great Britain,Chris Froome,Team Sky,1.0,16.0,39.6,30.0
2016,2–24 July 2016,21,"3,529 km (2,193 mi)",198,174,3529.0,21,2010,0.8787878787878788,87.87878787878788,Great Britain,Chris Froome,Team Sky,2.0,14.0,39.6,31.0
2017,1–23 July 2017,21,"3,540 km (2,200 mi)",198,167,3540.0,21,2010,0.8434343434343434,84.34343434343434,Great Britain,Chris Froome,Team Sky,0.0,15.0,41.0,32.0
2018,7–29 July 2018,21,"3,349 km (2,081 mi)",176,145,3349.0,21,2010,0.8238636363636364,82.38636363636364,Great Britain,Geraint Thomas,Team Sky,2.0,11.0,40.2,32.0
2019,6–28 July 2019,21,"3,366 km (2,092 mi)",176,155,3366.0,21,2010,0.8806818181818182,88.06818181818183,Colombia,Egan Bernal,Team Ineos,0.0,2.0,40.6,22.0
2020,29 August  20 September 2020[1],21,"3,484 km (2,165 mi)",176,146,3484.0,21,2020,0.8295454545454546,82.95454545454545,Slovenia,Tadej Poga?ar,UAE Team Emirates,3.0,,39.9,22.0
2021,26 June – 18 July 2021,21,"3,414.4 km (2,121.6 mi)",184,141,3414.4,21,2020,0.7663043478260869,76.63043478260869,Slovenia,Tadej Poga?ar,UAE Team Emirates,3.0,,41.2,23.0
2022,1–24 July 2022,21,"3,328 km (2,068 mi)",176,135,3328.0,21,2020,0.7670454545454546,76.70454545454545,Denmark,Jonas Vingegaard,Team Jumbo–Visma,2.0,,41.8,26.0
