year,date,stage,course,distance,type,winner,distance_km,winner_name,winner_country_code,stage_type_group,decade,stages_count,starters,finishers,completion_rate,completion_pct
1905,1905-07-20,6,NÃ®mes to Toulouse,307 km (191 mi),Plain stage,Jean-Baptiste Dortignacq (FRA),307.0,Jean-Baptiste Dortignacq,FRA,Flat,1900,11,60,24,0.4,40.0
1905,1905-07-22,7,Toulouse to Bordeaux,268 km (167 mi),Plain stage,Louis Trousselier (FRA),268.0,Louis Trousselier,FRA,Flat,1900,11,60,24,0.4,40.0
1905,1905-07-24,8,Bordeaux to La Rochelle,257 km (160 mi),Plain stage,Hippolyte Aucouturier (FRA),257.0,Hippolyte Aucouturier,FRA,Flat,1900,11,60,24,0.4,40.0
1905,1905-07-26,9,La Rochelle to Rennes,263 km (163 mi),Plain stage,Louis Trousselier (FRA),263.0,Louis Trousselier,FRA,Flat,1900,11,60,24,0.4,40.0
1905,1905-07-28,10,Rennes to Caen,167 km (104 mi),Plain stage,Jean-Baptiste Dortignacq (FRA),167.0,Jean-Baptiste Dortignacq,FRA,Flat,1900,11,60,24,0.4,40.0
1905,1905-07-29,11,Caen to Paris,253 km (157 mi),Plain stage,Jean-Baptiste Dortignacq (FRA),253.0,Jean-Baptiste Dortignacq,FRA,Flat,1900,11,60,24,0.4,40.0
1906,1906-07-04,1,Paris to Lille,275 km (171 mi),Plain stage,Emile Georget (FRA),275.0,Emile Georget,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-06,2,Douai to Nancy,400 km (250 mi),Plain stage,RenÃ© Pottier (FRA),400.0,RenÃ© Pottier,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-08,3,Nancy to Dijon,416 km (258 mi),Stage with mountain(s),RenÃ© Pottier (FRA),416.0,RenÃ© Pottier,FRA,Mountain,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-10,4,Dijon to Grenoble,311 km (193 mi),Plain stage,RenÃ© Pottier (FRA),311.0,RenÃ© Pottier,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-12,5,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),RenÃ© Pottier (FRA),345.0,RenÃ© Pottier,FRA,Mountain,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-14,6,Nice to Marseille,292 km (181 mi),Plain stage,Georges Passerieu (FRA),292.0,Georges Passerieu,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-16,7,Marseille to Toulouse,480 km (300 mi),Plain stage,Louis Trousselier (FRA),480.0,Louis Trousselier,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-18,8,Toulouse to Bayonne,300 km (190 mi),Plain stage,Jean-Baptiste Dortignacq (FRA),300.0,Jean-Baptiste Dortignacq,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-20,9,Bayonne to Bordeaux,338 km (210 mi),Plain stage,Louis Trousselier (FRA),338.0,Louis Trousselier,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-22,10,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA),391.0,Louis Trousselier,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-24,11,Nantes to Brest,321 km (199 mi),Plain stage,Louis Trousselier (FRA),321.0,Louis Trousselier,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-26,12,Brest to Caen,415 km (258 mi),Plain stage,Georges Passerieu (FRA),415.0,Georges Passerieu,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1906,1906-07-29,13,Caen to Paris,259 km (161 mi),Plain stage,RenÃ© Pottier (FRA),259.0,RenÃ© Pottier,FRA,Flat,1900,13,82,14,0.17073170731707318,17.073170731707318
1907,1907-07-08,1,Paris to Roubaix,272 km (169 mi),Plain stage,Louis Trousselier (FRA),272.0,Louis Trousselier,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-10,2,Roubaix to Metz,398 km (247 mi),Plain stage,Emile Georget (FRA)[b] Louis Trousselier (FRA)[b],398.0,Emile Georget (FRA)[b] Louis Trousselier (FRA)[b],,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-12,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),Emile Georget (FRA),259.0,Emile Georget,FRA,Mountain,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-14,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),Marcel Cadolle (FRA),309.0,Marcel Cadolle,FRA,Mountain,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-16,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Emile Georget (FRA),311.0,Emile Georget,FRA,Mountain,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-18,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Georges Passerieu (FRA),345.0,Georges Passerieu,FRA,Mountain,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-20,7,Nice to NÃ®mes,345 km (214 mi),Plain stage,Emile Georget (FRA),345.0,Emile Georget,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-22,8,NÃ®mes to Toulouse,303 km (188 mi),Plain stage,Emile Georget (FRA),303.0,Emile Georget,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-24,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Lucien Petit-Breton (FRA),299.0,Lucien Petit-Breton,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-26,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Gustave Garrigou (FRA),269.0,Gustave Garrigou,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-28,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Lucien Petit-Breton (FRA),391.0,Lucien Petit-Breton,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-07-30,12,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA),321.0,Gustave Garrigou,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-08-01,13,Brest to Caen,415 km (258 mi),Plain stage,Emile Georget (FRA),415.0,Emile Georget,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1907,1907-08-04,14,Caen to Paris,251 km (156 mi),Plain stage,Georges Passerieu (FRA),251.0,Georges Passerieu,FRA,Flat,1900,14,93,33,0.3548387096774194,35.483870967741936
1908,1908-07-13,1,Paris to Roubaix,272 km (169 mi),Plain stage,Georges Passerieu (FRA),272.0,Georges Passerieu,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-15,2,Roubaix to Metz,398 km (247 mi),Plain stage,Lucien Petit-Breton (FRA),398.0,Lucien Petit-Breton,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-17,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),259.0,FranÃ§ois Faber,LUX,Mountain,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-19,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),309.0,FranÃ§ois Faber,LUX,Mountain,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-21,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Georges Passerieu (FRA),311.0,Georges Passerieu,FRA,Mountain,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-23,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Jean-Baptiste Dortignacq (FRA),345.0,Jean-Baptiste Dortignacq,FRA,Mountain,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-25,7,Nice to NÃ®mes,354 km (220 mi),Plain stage,Lucien Petit-Breton (FRA),354.0,Lucien Petit-Breton,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-27,8,NÃ®mes to Toulouse,303 km (188 mi),Plain stage,FranÃ§ois Faber (LUX),303.0,FranÃ§ois Faber,LUX,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-29,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Lucien Petit-Breton (FRA),299.0,Lucien Petit-Breton,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-07-31,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Georges Paulmier (FRA),269.0,Georges Paulmier,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-08-02,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Lucien Petit-Breton (FRA),391.0,Lucien Petit-Breton,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-08-04,12,Nantes to Brest,321 km (199 mi),Plain stage,FranÃ§ois Faber (LUX),321.0,FranÃ§ois Faber,LUX,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-08-06,13,Brest to Caen,415 km (258 mi),Plain stage,Georges Passerieu (FRA),415.0,Georges Passerieu,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1908,1908-08-09,14,Caen to Paris,251 km (156 mi),Plain stage,Lucien Petit-Breton (FRA),251.0,Lucien Petit-Breton,FRA,Flat,1900,14,112,36,0.32142857142857145,32.142857142857146
1909,1909-07-05,1,Paris to Roubaix,272 km (169 mi),Plain stage,Cyrille van Hauwaert (BEL),272.0,Cyrille van Hauwaert,BEL,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-07,2,Roubaix to Metz,398 km (247 mi),Plain stage,FranÃ§ois Faber (LUX),398.0,FranÃ§ois Faber,LUX,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-09,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),259.0,FranÃ§ois Faber,LUX,Mountain,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-11,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),309.0,FranÃ§ois Faber,LUX,Mountain,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-13,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),311.0,FranÃ§ois Faber,LUX,Mountain,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-15,6,Grenoble to Nice,346 km (215 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),346.0,FranÃ§ois Faber,LUX,Mountain,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-17,7,Nice to NÃ®mes,345 km (214 mi),Plain stage,Ernest Paul (FRA),345.0,Ernest Paul,FRA,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-19,8,NÃ®mes to Toulouse,303 km (188 mi),Plain stage,Jean Alavoine (FRA),303.0,Jean Alavoine,FRA,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-21,9,Toulouse to Bayonne,299 km (186 mi),Plain stage,Constant MÃ©nager (FRA),299.0,Constant MÃ©nager,FRA,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-23,10,Bayonne to Bordeaux,269 km (167 mi),Plain stage,FranÃ§ois Faber (LUX),269.0,FranÃ§ois Faber,LUX,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-25,11,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA),391.0,Louis Trousselier,FRA,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-27,12,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA),321.0,Gustave Garrigou,FRA,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-07-29,13,Brest to Caen,424 km (263 mi),Plain stage,Paul Duboc (FRA),424.0,Paul Duboc,FRA,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1909,1909-08-01,14,Caen to Paris,250 km (160 mi),Plain stage,Jean Alavoine (FRA),250.0,Jean Alavoine,FRA,Flat,1900,14,150,55,0.36666666666666664,36.666666666666664
1910,1910-07-03,1,Paris to Roubaix,269 km (167 mi),Plain stage,Charles Crupelandt (FRA),269.0,Charles Crupelandt,FRA,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-05,2,Roubaix to Metz,398 km (247 mi),Plain stage,FranÃ§ois Faber (LUX),398.0,FranÃ§ois Faber,LUX,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-07,3,Metz to Belfort,259 km (161 mi),Stage with mountain(s),Emile Georget (FRA),259.0,Emile Georget,FRA,Mountain,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-09,4,Belfort to Lyon,309 km (192 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),309.0,FranÃ§ois Faber,LUX,Mountain,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-11,5,Lyon to Grenoble,311 km (193 mi),Stage with mountain(s),Octave Lapize (FRA),311.0,Octave Lapize,FRA,Mountain,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-13,6,Grenoble to Nice,345 km (214 mi),Stage with mountain(s),Julien Maitron (FRA),345.0,Julien Maitron,FRA,Mountain,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-15,7,Nice to NÃ®mes,345 km (214 mi),Plain stage,FranÃ§ois Faber (LUX),345.0,FranÃ§ois Faber,LUX,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-17,8,NÃ®mes to Perpignan,216 km (134 mi),Plain stage,Georges Paulmier (FRA),216.0,Georges Paulmier,FRA,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-19,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Octave Lapize (FRA),289.0,Octave Lapize,FRA,Mountain,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-21,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Octave Lapize (FRA),326.0,Octave Lapize,FRA,Mountain,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-23,11,Bayonne to Bordeaux,269 km (167 mi),Plain stage,Ernest Paul (FRA),269.0,Ernest Paul,FRA,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-25,12,Bordeaux to Nantes,391 km (243 mi),Plain stage,Louis Trousselier (FRA),391.0,Louis Trousselier,FRA,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-27,13,Nantes to Brest,321 km (199 mi),Plain stage,Gustave Garrigou (FRA),321.0,Gustave Garrigou,FRA,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-29,14,Brest to Caen,424 km (263 mi),Plain stage,Octave Lapize (FRA),424.0,Octave Lapize,FRA,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1910,1910-07-31,15,Caen to Paris,262 km (163 mi),Plain stage,Ernesto Azzini (ITA),262.0,Ernesto Azzini,ITA,Flat,1910,15,110,41,0.37272727272727274,37.27272727272727
1911,1911-07-02,1,Paris to Dunkerque,351 km (218 mi),Plain stage,Gustave Garrigou (FRA),351.0,Gustave Garrigou,FRA,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-04,2,Dunkerque to Longwy,388 km (241 mi),Plain stage,Jules Masselis (BEL),388.0,Jules Masselis,BEL,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-06,3,Longwy to Belfort,331 km (206 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),331.0,FranÃ§ois Faber,LUX,Mountain,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-08,4,Belfort to Chamonix,344 km (214 mi),Stage with mountain(s),Charles Crupelandt (FRA),344.0,Charles Crupelandt,FRA,Mountain,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-10,5,Chamonix to Grenoble,366 km (227 mi),Stage with mountain(s),Ãmile Georget (FRA),366.0,Ãmile Georget,FRA,Mountain,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-12,6,Grenoble to Nice,348 km (216 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),348.0,FranÃ§ois Faber,LUX,Mountain,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-14,7,Nice to Marseille,334 km (208 mi),Stage with mountain(s),Charles Crupelandt (FRA),334.0,Charles Crupelandt,FRA,Mountain,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-16,8,Marseille to Perpignan,335 km (208 mi),Plain stage,Paul Duboc (FRA),335.0,Paul Duboc,FRA,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-18,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Paul Duboc (FRA),289.0,Paul Duboc,FRA,Mountain,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-20,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Maurice Brocco (FRA),326.0,Maurice Brocco,FRA,Mountain,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-22,11,Bayonne to La Rochelle,379 km (235 mi),Plain stage,Paul Duboc (FRA),379.0,Paul Duboc,FRA,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-23,12,La Rochelle to Brest,470 km (290 mi),Plain stage,Marcel Godivier (FRA),470.0,Marcel Godivier,FRA,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-26,13,Brest to Cherbourg-en-Cotentin,405 km (252 mi),Plain stage,Gustave Garrigou (FRA),405.0,Gustave Garrigou,FRA,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-28,14,Cherbourg to Le Havre,361 km (224 mi),Plain stage,Paul Duboc (FRA),361.0,Paul Duboc,FRA,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1911,1911-07-30,15,Le Havre to Paris,317 km (197 mi),Plain stage,Marcel Godivier (FRA),317.0,Marcel Godivier,FRA,Flat,1910,15,84,28,0.3333333333333333,33.33333333333333
1912,1912-06-30,1,Paris to Dunkerque,351 km (218 mi),Plain stage,Charles Crupelandt (FRA),351.0,Charles Crupelandt,FRA,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-02,2,Dunkerque to Longwy,388 km (241 mi),Plain stage,Odile Defraye (BEL),388.0,Odile Defraye,BEL,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-04,3,Longwy to Belfort,331 km (206 mi),Stage with mountain(s),EugÃ¨ne Christophe (FRA),331.0,EugÃ¨ne Christophe,FRA,Mountain,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-06,4,Belfort to Chamonix,344 km (214 mi),Stage with mountain(s),EugÃ¨ne Christophe (FRA),344.0,EugÃ¨ne Christophe,FRA,Mountain,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-08,5,Chamonix to Grenoble,366 km (227 mi),Stage with mountain(s),EugÃ¨ne Christophe (FRA),366.0,EugÃ¨ne Christophe,FRA,Mountain,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-10,6,Grenoble to Nice,323 km (201 mi),Stage with mountain(s),Octave Lapize (FRA),323.0,Octave Lapize,FRA,Mountain,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-12,7,Nice to Marseille,334 km (208 mi),Stage with mountain(s),Odile Defraye (BEL),334.0,Odile Defraye,BEL,Mountain,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-14,8,Marseille to Perpignan,335 km (208 mi),Plain stage,Vicenzo Borgarello (ITA),335.0,Vicenzo Borgarello,ITA,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-16,9,Perpignan to Luchon,289 km (180 mi),Stage with mountain(s),Odile Defraye (BEL),289.0,Odile Defraye,BEL,Mountain,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-18,10,Luchon to Bayonne,326 km (203 mi),Stage with mountain(s),Louis Mottiat (BEL),326.0,Louis Mottiat,BEL,Mountain,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-20,11,Bayonne to La Rochelle,379 km (235 mi),Plain stage,Jean Alavoine (FRA),379.0,Jean Alavoine,FRA,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-21,12,La Rochelle to Brest,470 km (290 mi),Plain stage,Louis Heusghem (BEL),470.0,Louis Heusghem,BEL,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-24,13,Brest to Cherbourg-en-Cotentin,405 km (252 mi),Plain stage,Jean Alavoine (FRA),405.0,Jean Alavoine,FRA,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-26,14,Cherbourg to Le Havre,361 km (224 mi),Plain stage,Vicenzo Borgarello (ITA),361.0,Vicenzo Borgarello,ITA,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1912,1912-07-28,15,Le Havre to Paris,317 km (197 mi),Plain stage,Jean Alavoine (FRA),317.0,Jean Alavoine,FRA,Flat,1910,15,131,41,0.31297709923664124,31.297709923664126
1913,1913-06-29,1,Paris to Le Havre,388 km (241 mi),Plain stage,Giovanni Micheletto (ITA),388.0,Giovanni Micheletto,ITA,Flat,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-01,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Jules Masselis (BEL),364.0,Jules Masselis,BEL,Flat,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-03,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Henri Pelissier (FRA),405.0,Henri Pelissier,FRA,Flat,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-05,4,Brest to La Rochelle,470 km (290 mi),Plain stage,Marcel Buysse (BEL),470.0,Marcel Buysse,BEL,Flat,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-07,5,La Rochelle to Bayonne,379 km (235 mi),Plain stage,Henri Van Lerberghe (BEL),379.0,Henri Van Lerberghe,BEL,Flat,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-09,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Philippe Thys (BEL),326.0,Philippe Thys,BEL,Mountain,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-11,7,Luchon to Perpignan,324 km (201 mi),Stage with mountain(s),Marcel Buysse (BEL),324.0,Marcel Buysse,BEL,Mountain,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-13,8,Perpignan to Aix-en-Provence,325 km (202 mi),Plain stage,Gustave Garrigou (FRA),325.0,Gustave Garrigou,FRA,Flat,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-15,9,Aix-en-Provence to Nice,356 km (221 mi),Stage with mountain(s),Firmin Lambot (BEL),356.0,Firmin Lambot,BEL,Mountain,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-17,10,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Francois Faber (LUX),333.0,Francois Faber,LUX,Mountain,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-19,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain(s),Marcel Buysse (BEL),325.0,Marcel Buysse,BEL,Mountain,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-21,12,Geneva to Belfort,335 km (208 mi),Stage with mountain(s),Marcel Buysse (BEL),335.0,Marcel Buysse,BEL,Mountain,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-23,13,Belfort to Longwy,325 km (202 mi),Stage with mountain(s),FranÃ§ois Faber (LUX),325.0,FranÃ§ois Faber,LUX,Mountain,1910,15,140,25,0.17857142857142858,17.857142857142858
1913,1913-07-25,14,Longwy to Dunkerque,393 km (244 mi),Plain stage,Marcel Buysse (BEL),393.0,Marcel Buysse,BEL,Flat,1910,15,140,25,0.17857142857142858,17.857142857142858
